<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.26	20:00:00	3341.94	3343.08	3340.59	3341.07	1410	0	18
2025.05.27	00:00:00	3343.30	3350.06	3342.30	3345.03	13532	0	18
2025.05.27	04:00:00	3345.08	3347.26	3330.67	3330.84	30445	0	18
2025.05.27	08:00:00	3330.84	3332.65	3292.49	3298.59	58881	0	18
2025.05.27	12:00:00	3298.54	3309.79	3287.62	3293.71	47259	0	18
2025.05.27	16:00:00	3293.69	3304.74	3284.98	3297.78	53064	0	18
2025.05.27	20:00:00	3297.79	3307.90	3296.86	3300.07	18640	0	18
2025.05.28	00:00:00	3301.59	3315.69	3297.06	3308.35	13476	0	18
2025.05.28	04:00:00	3308.28	3313.23	3291.54	3296.26	32084	0	18
2025.05.28	08:00:00	3296.26	3323.78	3295.86	3321.71	33621	0	18
2025.05.28	12:00:00	3321.69	3325.35	3305.40	3312.11	22990	0	18
2025.05.28	16:00:00	3312.11	3316.33	3288.61	3293.43	45205	0	18
2025.05.28	20:00:00	3293.43	3303.00	3274.33	3286.56	22478	0	18
2025.05.29	00:00:00	3286.46	3294.11	3250.00	3265.11	32445	0	18
2025.05.29	04:00:00	3265.11	3280.07	3245.32	3268.98	38698	0	18
2025.05.29	08:00:00	3269.06	3289.37	3265.99	3281.69	24324	0	18
2025.05.29	12:00:00	3281.68	3316.75	3276.24	3315.70	35010	0	18
2025.05.29	16:00:00	3315.70	3331.27	3304.75	3322.22	57125	0	18
2025.05.29	20:00:00	3322.20	3325.75	3315.31	3317.31	24601	0	18
2025.05.30	00:00:00	3319.86	3320.89	3309.47	3312.46	13933	0	18
2025.05.30	04:00:00	3312.61	3322.54	3291.19	3296.11	33562	0	18
2025.05.30	08:00:00	3296.11	3304.28	3286.73	3295.67	28864	0	18
2025.05.30	12:00:00	3295.68	3306.86	3282.77	3304.00	35845	0	18
2025.05.30	16:00:00	3303.99	3308.21	3271.71	3293.42	65170	0	18
2025.05.30	20:00:00	3293.42	3295.71	3288.41	3289.24	21690	0	18
2025.06.02	00:00:00	3298.16	3316.51	3297.57	3311.71	20452	0	18
2025.06.02	04:00:00	3311.74	3317.48	3300.85	3313.04	22872	0	18
2025.06.02	08:00:00	3313.10	3358.41	3313.00	3351.40	33380	0	18
2025.06.02	12:00:00	3351.42	3363.57	3344.04	3355.50	30729	0	18
2025.06.02	16:00:00	3355.49	3379.29	3350.31	3371.73	56132	0	18
2025.06.02	20:00:00	3371.67	3382.84	3370.72	3381.55	27498	0	18
2025.06.03	00:00:00	3383.74	3391.94	3373.00	3374.99	18627	0	18
2025.06.03	04:00:00	3374.99	3378.56	3358.92	3362.58	36637	0	14
2025.06.03	08:00:00	3362.62	3367.87	3351.03	3361.25	30070	0	18
2025.06.03	12:00:00	3361.26	3363.03	3348.86	3359.37	25540	0	18
2025.06.03	16:00:00	3359.42	3363.06	3333.05	3348.49	51159	0	18
2025.06.03	20:00:00	3348.47	3355.39	3347.41	3353.16	17312	0	18
2025.06.04	00:00:00	3355.64	3361.42	3349.86	3350.04	13379	0	18
2025.06.04	04:00:00	3350.05	3372.61	3346.32	3354.66	28554	0	18
2025.06.04	08:00:00	3354.66	3365.12	3348.06	3362.80	29088	0	18
2025.06.04	12:00:00	3362.81	3365.06	3343.75	3358.94	34423	0	18
2025.06.04	16:00:00	3358.94	3384.65	3350.79	3375.05	50501	0	18
2025.06.04	20:00:00	3374.87	3382.06	3370.55	3373.66	19085	0	18
2025.06.05	00:00:00	3373.52	3381.75	3372.29	3380.06	12735	0	18
2025.06.05	04:00:00	3380.06	3384.06	3363.78	3368.38	28075	0	18
2025.06.05	08:00:00	3368.41	3376.95	3361.12	3375.23	24633	0	18
2025.06.05	12:00:00	3375.25	3403.61	3374.03	3382.90	52380	0	18
2025.06.05	16:00:00	3382.91	3388.39	3339.28	3354.03	94471	0	18
2025.06.05	20:00:00	3354.08	3361.30	3348.90	3352.58	32774	0	18
2025.06.06	00:00:00	3354.31	3364.11	3352.87	3359.29	13833	0	18
2025.06.06	04:00:00	3359.34	3374.51	3356.45	3373.62	29976	0	18
2025.06.06	08:00:00	3373.54	3375.54	3352.86	3365.39	35840	0	18
2025.06.06	12:00:00	3365.40	3365.42	3343.53	3353.36	40896	0	18
2025.06.06	16:00:00	3353.30	3360.91	3316.35	3322.66	81192	0	18
2025.06.06	20:00:00	3322.66	3326.74	3307.01	3311.20	27288	0	18
2025.06.09	00:00:00	3315.13	3321.08	3298.16	3305.47	19702	0	18
2025.06.09	04:00:00	3305.71	3313.44	3293.38	3311.68	30739	0	18
2025.06.09	08:00:00	3311.75	3328.53	3309.53	3319.85	28426	0	18
2025.06.09	12:00:00	3319.85	3323.44	3312.09	3320.01	25384	0	18
2025.06.09	16:00:00	3319.92	3337.85	3310.79	3337.68	45734	0	18
2025.06.09	20:00:00	3337.67	3338.18	3324.85	3325.59	19476	0	18
2025.06.10	00:00:00	3326.92	3327.83	3314.44	3316.49	15131	0	18
